localized_name,primary_attr,base_health,base_armor,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,move_speed
Anti-Mage,agi,,0.5,0.7,0.75,0.4,0.372093023255814,0.7,0.34615384615384615,0.6363636363636364
Axe,str,,0.25,0.8333333333333334,0.625,0.6,0.6279069767441862,0.425,0.3076923076923077,0.7272727272727273
Bane,all,,0.375,0.7666666666666667,0.71875,0.7666666666666667,0.5813953488372093,0.625,0.4807692307692307,0.5454545454545454
Bloodseeker,agi,,0.5,0.8,0.75,0.5666666666666667,0.6279069767441862,0.775,0.3846153846153846,0.18181818181818182
Crystal Maiden,int,,0.25,0.5666666666666667,0.5,0.6666666666666666,0.5116279069767442,0.45,0.6346153846153846,0.09090909090909091
Drow Ranger,agi,,0.25,0.5333333333333333,0.6875,0.5,0.4418604651162791,0.7,0.2692307692307692,0.6363636363636364
Earthshaker,str,,0.5,0.7333333333333333,0.375,0.6,0.8604651162790699,0.35,0.40384615384615385,0.7272727272727273
Juggernaut,agi,,0.25,0.6666666666666666,1.0,0.4666666666666667,0.46511627906976744,0.7,0.2692307692307692,0.45454545454545453
Mirana,agi,,0.0,0.6666666666666666,0.8125,0.7333333333333333,0.5116279069767442,0.775,0.36538461538461536,0.18181818181818182
Morphling,agi,,0.125,0.7666666666666667,0.75,0.6333333333333333,0.6046511627906977,0.975,0.34615384615384615,0.18181818181818182
Shadow Fiend,agi,,0.25,0.6333333333333333,0.78125,0.6,0.6279069767441862,0.9,0.4230769230769231,0.5454545454545454
Phantom Lancer,agi,,0.25,0.7,0.8125,0.7,0.5116279069767442,0.85,0.34615384615384615,0.18181818181818182
Puck,int,,0.25,0.5666666666666667,0.4375,0.7666666666666667,0.5581395348837209,0.575,0.7307692307692307,0.2727272727272727
Pudge,str,,0.25,0.8333333333333334,0.34375,0.5333333333333333,0.6976744186046512,0.35,0.34615384615384615,0.09090909090909091
Razor,agi,,0.25,0.7333333333333333,0.75,0.7,0.6511627906976744,0.7,0.4230769230769231,0.09090909090909091
Sand King,all,,0.375,0.7666666666666667,0.59375,0.5666666666666667,0.5348837209302325,0.5,0.3846153846153846,0.2727272727272727
Storm Spirit,int,,0.375,0.7,0.6875,0.7666666666666667,0.46511627906976744,0.65,0.7115384615384616,0.18181818181818182
Sven,str,,0.25,0.8,0.5625,0.5333333333333333,0.813953488372093,0.55,0.28846153846153844,0.9090909090909091
Tiny,str,,0.25,1.0,0.0,0.5666666666666667,0.9767441860465117,0.0,0.4230769230769231,0.0
Vengeful Spirit,agi,,0.25,0.6666666666666666,0.71875,0.6333333333333333,0.6046511627906977,0.75,0.28846153846153844,0.45454545454545453
Windranger,all,,0.25,0.6,0.53125,0.6,0.6046511627906977,0.525,0.6153846153846154,0.18181818181818182
Zeus,int,,0.375,0.7,0.34375,0.7666666666666667,0.48837209302325585,0.3,0.6346153846153846,0.5454545454545454
Kunkka,str,,0.5,0.8,0.4375,0.6,0.8372093023255814,0.4,0.34615384615384615,0.7272727272727273
Lina,int,,0.25,0.6666666666666666,0.71875,1.0,0.5581395348837209,0.6,0.7692307692307692,0.2727272727272727
Lion,int,,0.25,0.6,0.46875,0.6333333333333333,0.5581395348837209,0.425,0.673076923076923,0.2727272727272727
Shadow Shaman,int,,0.5,0.6666666666666666,0.5,0.7666666666666667,0.5348837209302325,0.4,0.673076923076923,0.18181818181818182
Slardar,str,,0.5,0.7,0.53125,0.5,0.7906976744186046,0.525,0.28846153846153844,0.45454545454545453
Tidehunter,str,,0.25,0.8666666666666667,0.46875,0.6666666666666666,0.8604651162790699,0.375,0.3269230769230769,0.45454545454545453
Witch Doctor,int,,0.25,0.6666666666666666,0.40625,0.7333333333333333,0.48837209302325585,0.35,0.5961538461538461,0.45454545454545453
